nama_makanan,label,energi_kkal,protein_g,lemak_g,karbohidrat_g
Domba ginjal segar,Lauk Pauk,100,16.6,3.3,1.0
Duku,Lauk Pauk,63,1.0,0.2,16.1
Durian,Lauk Pauk,134,2.5,3.0,28.0
Duwet segar,Lauk Pauk,80,0.5,0.6,18.2
Eceng Gondok,Lauk Pauk,18,1.0,0.2,3.8
Embacang,Lauk Pauk,98,1.4,0.2,25.4
Empal (daging) Goreng masakan,Lauk Pauk,248,36.2,6.9,10.1
Empal Goreng,Lauk Pauk,590,18.5,57.0,0.0
Emping (kerupuk melinjo),Makanan Ringan,345,12.0,1.5,71.5
Emping beras,Makanan Pokok,403,10.6,2.2,85.3
Emping komak,Lauk Pauk,355,17.8,4.6,60.7
Encung asam segar,Lauk Pauk,122,3.5,4.5,17.5
Enting-enting gepuk hello kity,Lauk Pauk,538,13.6,30.3,52.6
Enting-enting gepuk kacang tanah,Lauk Pauk,524,13.3,29.2,52.0
Enting-enting wijen,Lauk Pauk,565,18.2,38.4,36.8
Erbis,Lauk Pauk,70,0.6,0.0,18.9
Es krim,Lauk Pauk,210,4.0,12.5,20.6
Es Krim (Coconut milk) ,Lauk Pauk,156,3.0,1.7,32.7
Es Mambo ,Lauk Pauk,152,0.0,0.0,37.6
Es Sirup ,Lauk Pauk,44,0.0,0.0,11.3
Fillet o-fish,Lauk Pauk,270,12.3,15.9,19.3
Gadeng/Gadung kering,Lauk Pauk,322,2.4,0.6,76.6
Gado-gado,Lauk Pauk,137,6.1,3.2,21.0
Gadung kukus,Lauk Pauk,88,0.8,0.3,20.9
Gadung mentah,Lauk Pauk,101,2.1,0.2,23.2
Gadung ubi kukus,Makanan Pokok,88,0.6,0.3,20.9
Gadung ubi segar,Makanan Pokok,100,0.9,0.3,23.5
Gambas (Oyong),Lauk Pauk,18,0.8,0.2,4.1
Gambas lodeh,Lauk Pauk,13,0.3,0.6,1.6
Gandaria,Lauk Pauk,68,0.7,0.1,18.0
Ganyong kukus,Lauk Pauk,100,0.8,0.2,23.8
Ganyong mentah,Lauk Pauk,95,1.0,0.1,22.6
Ganyong rebus,Lauk Pauk,100,0.8,0.2,23.8
Ganyong segar,Lauk Pauk,77,0.6,0.2,18.4
Gaplek,Lauk Pauk,338,1.5,0.7,81.3
Gatep segar,Lauk Pauk,191,4.5,1.5,39.7
Gatot,Lauk Pauk,347,1.3,0.7,83.8
Geblek,Lauk Pauk,195,0.4,1.7,44.4
Gelatine,Lauk Pauk,389,0.0,0.0,91.0
Gembili,Lauk Pauk,95,1.5,0.1,22.4
Gembili ubi segar,Makanan Pokok,131,1.1,0.2,31.3
Gemblong,Lauk Pauk,274,1.7,5.4,55.5
Gendar goreng,Lauk Pauk,407,6.4,28.2,32.0
Genjer segar,Lauk Pauk,35,1.7,0.2,7.7
Geplak,Lauk Pauk,350,1.4,14.4,53.6
Geplak jahe,Lauk Pauk,462,3.1,24.4,57.7
Gete kuah asam masakan,Lauk Pauk,75,8.2,2.0,6.0
Getuk goreng,Lauk Pauk,360,1.3,6.4,74.3
Getuk Lindri ,Lauk Pauk,171,4.0,4.0,32.0
Getuk pisang,Buah,144,1.1,0.4,34.1
Getuk singkong,Makanan Pokok,204,0.5,1.4,47.4
Ginjal Babi,Lauk Pauk,114,16.3,4.6,0.8
Ginjal Domba,Lauk Pauk,105,16.6,3.3,1.0
Ginjal Sapi,Lauk Pauk,141,15.0,8.1,0.9
Gudeg ,Lauk Pauk,53,1.6,1.6,8.8
Gudeg sayur,Sayur Mayur,160,3.3,9.2,16.0
Gula Aren,Lauk Pauk,368,0.0,0.0,95.0
Gula Kelapa,Lauk Pauk,386,3.0,10.0,76.0
Gula Merah Tebu belum dimurnikan,Lauk Pauk,356,0.4,0.5,90.6
Gula putih,Lauk Pauk,394,0.0,0.0,94.0
Gulai asam keueung masakan,Lauk Pauk,52,10.0,0.5,1.8
Gulai ikan masakan,Lauk Pauk,106,16.5,3.3,2.5
Gulai ikan paya masakan,Lauk Pauk,148,10.0,9.8,5.0
Gulai kambing,Lauk Pauk,126,4.2,9.4,6.2
Gulai keumamah masakan,Lauk Pauk,110,5.9,8.2,3.2
Gulai pakis,Lauk Pauk,143,4.0,11.4,6.0
Gulai pliek,Lauk Pauk,176,7.3,14.9,3.2
Gulai tiram masakan,Lauk Pauk,132,9.0,7.2,7.8
Gurame asem manis masakan,Lauk Pauk,192,12.7,10.1,12.7
Gurandil,Lauk Pauk,218,0.5,2.5,48.5
Ham,Lauk Pauk,389,16.9,35.0,0.3
Hangop,Lauk Pauk,65,10.0,1.0,3.5
Hati Babi,Lauk Pauk,134,19.7,4.8,1.7
Hati Sapi,Lauk Pauk,136,19.7,3.2,6.0
Havermout,Lauk Pauk,390,14.2,7.4,68.2
Hofa/Ubi hutan segar,Makanan Pokok,127,1.2,0.5,29.5
Ikan asar merah masakan,Lauk Pauk,146,17.7,5.9,5.6
Ikan Asin bilis goreng,Lauk Pauk,380,33.6,27.5,0.0
Ikan Asin gabus goreng,Lauk Pauk,456,46.5,24.4,0.0
Ikan Asin japuh goreng,Lauk Pauk,348,18.7,29.5,0.0
Ikan Asin kering,Lauk Pauk,193,42.0,1.5,0.0
Ikan Asin pari goreng,Lauk Pauk,430,58.2,23.6,0.0
Ikan Asin pepetek goreng,Lauk Pauk,652,40.4,54.3,0.0
Ikan Asin sirinding goreng,Lauk Pauk,319,6.9,31.7,0.0
Ikan Asin teri goreng,Lauk Pauk,430,33.4,32.4,0.0
Ikan Bader (Tawes),Lauk Pauk,198,19.0,13.0,0.0
Ikan balong segar,Lauk Pauk,107,16.5,3.9,1.5
Ikan bambangan segar,Lauk Pauk,112,20.0,1.3,3.7
Ikan Bandeng,Lauk Pauk,129,20.0,4.8,0.0
Ikan bandeng presto masakan,Lauk Pauk,296,17.1,20.3,11.3
Ikan banjar segar,Lauk Pauk,111,19.4,0.9,4.8
Ikan baronang segar,Lauk Pauk,78,14.5,0.6,3.7
Ikan baung bakar,Lauk Pauk,144,17.8,5.8,5.2
Ikan baung segar,Lauk Pauk,123,15.1,5.5,3.3
Ikan Bawal,Lauk Pauk,96,19.0,1.7,0.0
Ikan Bekasang,Lauk Pauk,138,14.0,0.7,7.4
Ikan Belida bakar,Lauk Pauk,128,18.0,3.0,7.2
Ikan Belida segar,Lauk Pauk,80,14.7,1.4,2.2
Ikan Belut Segar goreng,Lauk Pauk,417,25.9,19.4,32.0
Ikan Belut Segar mentah,Lauk Pauk,82,6.7,1.0,10.9
Ikan Beunteur,Lauk Pauk,66,14.0,0.0,0.0
Ikan biawan segar,Lauk Pauk,90,14.9,2.5,2.1
Ikan bili segar,Lauk Pauk,88,14.2,0.7,6.2
Ikan bubara segar,Lauk Pauk,100,14.7,2.4,4.9
Ikan bulan-bulan segar,Lauk Pauk,134,25.5,1.3,5.0
Ikan cakalang asap mentah,Lauk Pauk,204,34.2,5.6,1.9
Ikan cakalang asin mentah,Lauk Pauk,198,36.5,2.2,5.5
Ikan cakalang hati segar,Lauk Pauk,120,11.3,3.9,10.0
Ikan cakalang jantung segar,Lauk Pauk,116,11.2,1.2,10.2
Ikan cakalang perut segar,Lauk Pauk,86,10.2,1.1,8.7
Ikan cakalang segar,Lauk Pauk,107,19.6,0.7,5.5
Ikan calo/ peda mentah,Lauk Pauk,81,11.4,1.9,3.8
Ikan daun segar,Lauk Pauk,101,11.5,4.1,4.6
Ikan Ekor Kuning,Lauk Pauk,109,17.0,4.0,0.0
Ikan Gabus asap mentah,Lauk Pauk,261,38.1,2.3,21.9
Ikan Gabus kering,Lauk Pauk,292,58.0,4.0,0.0
Ikan Gabus segar,Lauk Pauk,74,25.2,1.7,0.0
Ikan gete goreng,Lauk Pauk,267,23.1,19.4,0.2
Ikan hitam segar,Lauk Pauk,101,10.3,3.7,6.7
Ikan hiu kering,Lauk Pauk,298,46.3,3.6,20.2
Ikan hiu segar,Lauk Pauk,57,10.7,0.3,2.2
Ikan kacangan segar,Lauk Pauk,77,15.6,0.9,1.6
Ikan kakap segar,Lauk Pauk,92,20.0,0.7,0.0
Ikan kakatua segar,Lauk Pauk,82,11.4,1.2,6.4
Ikan kapar segar,Lauk Pauk,132,17.0,6.7,0.8
Ikan katombo asin,Lauk Pauk,162,31.7,2.8,0.3
Ikan kawalinya segar,Lauk Pauk,110,12.6,4.2,5.4
Ikan kayu kering,Lauk Pauk,302,70.7,1.9,0.4
Ikan Kembung,Lauk Pauk,103,22.0,1.0,0.0
Ikan kima segar,Lauk Pauk,70,10.8,0.7,5.2
Ikan Lais bakar,Lauk Pauk,147,17.5,6.5,5.4
Ikan Layang,Lauk Pauk,109,22.0,1.7,0.0
Ikan layur segar,Lauk Pauk,82,18.0,1.0,0.4
Ikan lehoma segar,Lauk Pauk,90,20.4,0.9,0.0
Ikan Lele goreng,Lauk Pauk,252,19.9,19.1,0.0
Ikan Lemuru,Lauk Pauk,112,20.0,3.0,0.0
Ikan lidah segar,Lauk Pauk,104,15.6,3.2,2.0
Ikan lomak asin mentah,Lauk Pauk,258,40.3,2.3,18.9
Ikan malalugis segar,Lauk Pauk,99,20.6,1.4,0.9
Ikan Mas,Lauk Pauk,86,16.0,2.0,0.0
Ikan Mas goreng,Lauk Pauk,188,19.3,12.2,0.0
Ikan Mas pepes,Lauk Pauk,209,15.2,11.3,11.8
Ikan mayong segar,Lauk Pauk,97,17.9,2.0,0.4
Ikan Mujair dendeng goreng,Lauk Pauk,598,74.3,26.9,9.2
Ikan Mujair dendeng mentah,Lauk Pauk,582,68.3,15.2,37.2
Ikan Mujair goreng,Lauk Pauk,416,46.9,23.9,0.0
Ikan Mujair pepes,Lauk Pauk,121,21.7,2.8,0.8
Ikan Mujair segar,Lauk Pauk,89,18.7,1.0,0.0
Ikan nasu metti segar,Lauk Pauk,154,16.8,5.0,10.5
Ikan oci kembung segar,Lauk Pauk,125,21.3,3.4,2.2
Ikan Papuyu bakar,Lauk Pauk,152,17.6,6.1,6.7
Ikan papuyu/ betok segar,Lauk Pauk,120,14.3,4.9,4.6
Ikan Patin bakar,Lauk Pauk,144,17.5,6.3,4.3
Ikan Patin segar,Lauk Pauk,132,17.0,6.6,1.1
Ikan peda banjar mentah,Lauk Pauk,156,28.0,4.0,2.0
Ikan Pepetek,Lauk Pauk,176,32.0,4.4,0.0
Ikan Pindang banjar mentah,Lauk Pauk,157,28.0,4.2,1.8
Ikan Pindang benggol mentah,Lauk Pauk,170,31.0,4.2,0.0
Ikan Pindang layang mentah,Lauk Pauk,153,30.0,2.8,0.0
Ikan Pindang selar mentah,Lauk Pauk,142,27.0,3.0,0.0
Ikan sale lais mentah,Lauk Pauk,415,61.3,17.6,2.9
Ikan Sale segar,Lauk Pauk,534,40.2,39.3,4.9
Ikan saluang kering mentah,Lauk Pauk,284,34.1,9.9,14.6
Ikan saluang segar,Lauk Pauk,113,13.9,4.9,3.4
Ikan sanggang masakan,Lauk Pauk,240,21.7,7.7,20.7
Ikan sarden segar,Lauk Pauk,109,19.9,1.8,3.4
Ikan Segar,Lauk Pauk,113,17.0,4.5,0.0
Ikan Selar kering,Lauk Pauk,194,38.0,3.5,0.0
Ikan selar kuning cue mentah,Lauk Pauk,138,27.0,3.3,0.0
Ikan selar segar,Lauk Pauk,100,18.8,2.2,0.0
Ikan Sepat kering,Lauk Pauk,289,38.0,14.0,0.0
Ikan sepat segar,Lauk Pauk,84,15.2,0.6,4.7
Ikan sidat segar,Lauk Pauk,81,11.4,1.9,3.8
Ikan sunu asin mentah,Lauk Pauk,199,34.1,3.8,7.1
Ikan sunu segar,Lauk Pauk,111,13.3,3.4,6.7
Ikan tahuman segar,Lauk Pauk,88,15.9,0.9,4.1
Ikan tarmon segar,Lauk Pauk,96,19.5,1.1,2.0
Ikan telan segar,Lauk Pauk,95,15.8,0.7,6.5
Ikan telur asin mentah,Lauk Pauk,358,20.7,26.4,9.4
Ikan Tembang,Lauk Pauk,204,16.0,15.0,0.0
Ikan tempahas segar,Lauk Pauk,101,15.1,4.1,1.0
Ikan tepung mentah,Lauk Pauk,316,60.1,6.5,22.4
Ikan terbang segar,Lauk Pauk,98,19.6,1.7,1.0
Ikan Teri bubuk,Lauk Pauk,277,60.0,2.3,1.8
Ikan Teri kering,Lauk Pauk,170,33.4,3.0,0.0
Ikan Teri Kering tawar,Lauk Pauk,331,68.7,4.2,0.0
Ikan Teri Nasi kering,Makanan Pokok,144,32.5,0.6,0.0
Ikan teri segar,Lauk Pauk,74,10.3,1.4,4.1
Ikan Teri tepung,Lauk Pauk,347,48.8,6.4,19.6
Ikan titang segar,Lauk Pauk,82,17.4,0.4,2.3
Ikan tongkol segar,Lauk Pauk,100,13.7,1.5,8.0
Ikan turi segar,Lauk Pauk,96,19.2,2.0,0.2
Intip goreng,Lauk Pauk,474,7.6,21.6,62.3
Itik alabio daging dendeng mentah,Lauk Pauk,496,30.3,33.5,18.4
Jagung grontol,Makanan Pokok,156,2.7,1.3,33.3
Jagung Kuning giling,Makanan Pokok,361,8.7,4.5,72.4
Jagung Kuning muda,Makanan Pokok,129,4.1,1.3,30.3
Jagung Kuning pipil baru,Makanan Pokok,307,7.9,3.4,63.6
Jagung kuning pipil kering mentah,Makanan Pokok,366,9.8,7.3,69.1
Jagung Kuning pipil lama,Makanan Pokok,355,9.2,3.9,73.7
Jagung kuning pipil rebus,Makanan Pokok,154,3.8,3.5,28.4
Jagung Kuning segar,Makanan Pokok,140,4.7,1.3,33.1
Jagung kuning tepung,Makanan Pokok,355,9.2,3.9,73.7
Jagung muda,Makanan Pokok,35,2.2,0.1,7.4
Jagung muda kuning mentah,Makanan Pokok,147,5.1,0.7,31.5
Jagung muda rebus,Makanan Pokok,142,5.0,0.7,30.3
Jagung pipil var. harapan kering,Makanan Pokok,367,6.2,5.1,76.2
Jagung pipil var. metro kering,Makanan Pokok,368,5.5,4.6,78.0
Jagung Putih giling,Makanan Pokok,361,8.7,4.5,72.4
Jagung Putih muda,Makanan Pokok,129,4.1,1.3,30.3
Jagung Putih pipil baru,Makanan Pokok,307,7.9,3.4,63.6
Jagung Putih pipil lama,Makanan Pokok,355,9.2,3.9,73.7
Jagung Putih segar,Makanan Pokok,140,4.7,1.3,33.1
Jagung Rebus ,Makanan Pokok,175,1.8,1.8,35.0
Jagung Sayur (tumis) ,Makanan Pokok,148,10.4,10.4,20.1
Jagung titi,Makanan Pokok,374,9.4,2.2,79.1
Jahe,Lauk Pauk,51,1.5,1.0,10.1
Jali,Lauk Pauk,289,11.0,4.0,61.0
Jam selai,Lauk Pauk,239,0.5,0.6,64.5
Jambal goreng,Lauk Pauk,286,48.5,9.2,2.3
Jambu Air,Lauk Pauk,46,0.6,0.0,11.8
Jambu Biji,Lauk Pauk,49,0.9,0.3,12.2
Jambu biji putih tidak berbiji,Lauk Pauk,61,0.9,0.3,15.4
Jambu Bol,Lauk Pauk,56,0.6,0.3,14.2
Jambu Monyet buah,Buah,64,0.7,0.6,15.8
Jampang huma mentah,Lauk Pauk,350,6.2,1.4,78.2
Jamur Coklat (kulat siau),Makanan Ringan,45,2.5,3.9,0.0
Jamur encik,Lauk Pauk,296,9.4,1.1,62.0
Jamur kuping kering,Lauk Pauk,294,16.0,0.9,64.6
Jamur kuping segar,Lauk Pauk,21,3.8,0.6,0.9
Jamur merang segar,Lauk Pauk,30,3.5,0.2,4.0
Jamur Putih (kulat putih),Lauk Pauk,48,2.8,4.1,2.9
Jamur sagu,Lauk Pauk,48,1.9,3.2,2.8
Jamur tiram segar,Lauk Pauk,30,1.9,0.1,5.5
Jangang bintatoeng masakan,Lauk Pauk,107,5.3,2.2,16.5
Jantung Pisang segar,Buah,31,1.2,0.3,7.1
Japilus,Lauk Pauk,500,1.2,25.1,67.3
Jaruk Tigarun,Lauk Pauk,48,2.5,4.2,0.0
Jawawut,Lauk Pauk,334,9.7,3.5,73.4
Jenang ,Lauk Pauk,381,9.5,9.5,65.8
Jengkol segar,Sayur Mayur,192,5.4,0.3,40.7
Jeruk Bali,Buah,48,0.6,0.2,12.4
Jeruk banjar segar,Buah,61,0.8,0.2,14.1
Jeruk Garut,Buah,44,0.8,0.3,10.9
Jeruk Kalamansi segar,Buah,39,0.3,0.3,8.9
Jeruk Manis,Buah,45,0.9,0.2,11.2
Jeruk Nipis,Buah,37,0.8,0.1,12.3
Jeruk ragi segar,Buah,49,0.7,0.2,11.1
Jotang,Lauk Pauk,32,1.9,0.3,7.1
Jukku pallu kaloa masakan,Lauk Pauk,15,15.2,4.3,8.8
Kabau segar,Lauk Pauk,130,6.7,0.3,25.2
Kaburan ubi segar,Makanan Pokok,133,1.0,0.2,32.2
Kabuto,Lauk Pauk,250,2.6,2.5,35.4
Kacang Andong,Lauk Pauk,356,20.5,4.1,61.6
Kacang Arab,Lauk Pauk,330,23.8,1.4,60.2
Kacang atom,Lauk Pauk,533,27.8,38.1,28.8
Kacang babi kering,Lauk Pauk,341,30.4,3.2,51.3
Kacang belimbing (kecipir) kering,Lauk Pauk,400,34.4,16.9,34.1
Kacang Belimbing rebus,Lauk Pauk,204,16.9,8.8,17.5
Kacang Belimbing tempe,Lauk Pauk,212,17.5,10.0,12.9
Kacang beracun segar,Lauk Pauk,118,4.4,1.5,21.6
Kacang Bogor goreng,Lauk Pauk,479,12.7,23.2,58.9
Kacang bogor kering,Lauk Pauk,370,16.0,6.0,65.0
Kacang Bogor rebus,Lauk Pauk,161,7.7,2.8,27.1
Kacang bogor segar,Lauk Pauk,165,7.7,3.1,27.4
Kacang Endel biji,Lauk Pauk,331,25.0,1.0,58.0
Kacang ercis segar,Lauk Pauk,129,12.4,0.7,18.3
kacang galing segar,Lauk Pauk,336,23.1,1.7,59.5
Kacang goyang,Lauk Pauk,516,14.7,31.1,44.4
Kacang Gude biji,Lauk Pauk,336,20.7,1.4,62.0
Kacang gude biji kering,Lauk Pauk,316,20.7,1.0,58.0
Kacang Gude biji muda,Lauk Pauk,114,7.0,0.6,20.8
Kacang Gude muda,Lauk Pauk,123,8.4,0.6,1.8
Kacang gude rebus,Lauk Pauk,147,9.0,0.5,27.5
Kacang hijau kering,Lauk Pauk,323,22.9,1.5,56.8
kacang hijau rebus,Lauk Pauk,109,8.7,0.5,18.3
Kacang hijau var. bakti kering,Lauk Pauk,350,17.1,1.8,70.7
Kacang hijau var. siwalik kering,Lauk Pauk,339,20.8,2.1,64.6
Kacang hitam kering,Lauk Pauk,346,16.6,1.7,66.1
Kacang Ijo,Lauk Pauk,345,22.2,1.2,62.9
Kacang Kapri Goreng ,Lauk Pauk,445,11.0,11.0,65.5
Kacang Kapri muda,Lauk Pauk,98,6.7,0.4,17.7
Kacang Kedelai basah,Lauk Pauk,286,30.2,15.6,30.1
Kacang kedelai goreng,Lauk Pauk,521,32.2,37.7,22.9
Kacang kedelai kering,Lauk Pauk,381,40.4,16.7,24.9
Kacang Kedelai kukus,Lauk Pauk,75,4.1,2.1,10.7
Kacang kedelai rebus,Lauk Pauk,189,20.2,8.2,12.7
Kacang kedelai segar,Lauk Pauk,286,30.2,15.6,30.1
Kacang komak segar,Lauk Pauk,327,16.4,4.3,55.8
Kacang kuning kering,Lauk Pauk,355,17.0,2.5,66.0
Kacang lebui /iris kering,Lauk Pauk,346,16.5,1.5,66.6
Kacang mekah polong segar,Lauk Pauk,22,1.1,1.0,3.4
Kacang mentega kering,Lauk Pauk,344,16.7,2.1,64.6
Kacang Merah,Lauk Pauk,336,23.1,1.7,59.5
Kacang merah /banda kering,Lauk Pauk,350,13.9,3.0,66.9
Kacang merah kering,Lauk Pauk,314,22.1,1.1,56.2
Kacang Merah kering rebus,Lauk Pauk,158,10.3,0.9,28.2
Kacang merah segar,Lauk Pauk,171,11.0,2.2,28.0
Kacang Merah segar rebus,Lauk Pauk,144,10.0,1.0,24.7
Kacang merah tua kering,Lauk Pauk,280,16.7,1.6,63.2
Kacang mete/biji jambu monyet goreng,Lauk Pauk,629,20.4,56.3,19.8
Kacang mete/biji jambu monyet segar,Lauk Pauk,616,16.3,48.4,28.7
Kacang negara,Lauk Pauk,480,18.4,19.1,58.5
Kacang Panjang,Lauk Pauk,44,2.7,0.3,7.8
Kacang Panjang biji,Lauk Pauk,357,17.3,1.5,70.0
Kacang Panjang kukus,Lauk Pauk,39,3.0,0.6,7.6
Kacang Panjang tumis,Lauk Pauk,150,2.5,12.5,7.0
Kacang ranti polong,Lauk Pauk,37,3.1,0.2,7.9
Kacang sukro,Lauk Pauk,484,8.8,26.1,57.7
Kacang Sukro Putih ,Lauk Pauk,488,25.6,25.6,59.6
Kacang Tanah atom,Lauk Pauk,535,27.8,38.1,28.8
Kacang tanah goreng,Lauk Pauk,564,25.5,44.4,25.5
Kacang Tanah kacang sari,Lauk Pauk,561,25.5,43.8,26.0
Kacang tanah kering,Lauk Pauk,525,27.9,42.7,17.4
Kacang Tanah Rebus ,Lauk Pauk,385,14.0,31.0,13.0
Kacang Tanah rebus berkulit,Lauk Pauk,360,13.5,31.2,12.8
Kacang Tanah rempeyek,Lauk Pauk,513,17.5,32.5,44.3
Kacang Tanah sangan berselaput,Lauk Pauk,569,28.8,48.4,15.8
Kacang tanah sangan tanpa selaput,Lauk Pauk,559,26.9,44.2,23.6
Kacang tanah sari,Lauk Pauk,561,25.5,43.8,26.0
Kacang Telur ,Lauk Pauk,748,20.8,20.8,124.8
Kacang tolo / tunggak kering,Lauk Pauk,331,24.4,1.9,56.6
Kacang tolo rebus,Lauk Pauk,138,10.7,1.1,22.6
Kacang Tunggak (tolo),Lauk Pauk,342,22.9,1.4,61.6
Kacang Tunggak rebus,Lauk Pauk,138,10.7,1.1,22.6
